alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
"Citayam, Depok",372000000,2,30,72
"Leuwi Nanggung, Depok",650000000,2,70,91
"Tapos, Depok",1000000000,3,120,98
"Citayam, Depok",1500000000,3,128,200
"Rangkapan Jaya, Depok",499000000,2,41,64
"Sukmajaya, Depok",485000000,2,90,90
"Cipayung, Depok",165000000,2,27,30
"Cinere, Depok",2700000000,5,180,405
Depok,240000000,2,30,40
"Beji, Depok",195000000,2,36,55
"Tanah Baru, Depok",695000000,2,55,65
"Cilodong, Depok",155500000,1,24,30
"Cilodong, Depok",750000000,2,50,90
"Cimanggis, Depok",300000000,2,45,65
"Cilodong, Depok",900000000,3,80,80
"Sawangan, Depok",350000000,3,60,72
"Cinere, Depok",2100000000,5,300,195
"Sawangan, Depok",760000000,2,42,89
"Sawangan, Depok",395000000,2,33,73
"Cinere, Depok",4500000000,4,400,325
"Cimanggis, Depok",2500000000,3,220,220
"Sawangan, Depok",992000000,3,85,127
"Cilodong, Depok",1560000000,3,90,72
Depok,660000000,2,50,82
Depok,660000000,2,45,80
Depok,859000000,2,90,108
Depok,1050000000,5,154,83
Depok,2500000000,3,300,315
"Sawangan, Depok",1475000000,3,120,80
"Cipayung, Depok",400000000,2,55,87
Depok,810000000,3,65,89
"Tapos, Depok",625000000,3,90,50
"Pancoran Mas, Depok",285000000,2,59,59
Depok,190000000,2,36,50
"Pancoran Mas, Depok",980000000,3,80,88
"Citayam, Depok",375000000,2,45,60
"Tapos, Depok",456000000,2,46,40
"Margonda, Depok",834000000,3,36,90
"Pondok Petir, Depok",764500000,3,84,84
"Pangkalan Jati Baru, Depok",3000000000,4,265,136
"Cimanggis, Depok",750000000,3,71,62
"Sawangan, Depok",658000000,1,27,60
"Sawangan, Depok",681000000,2,45,51
"Sawangan, Depok",715000000,2,45,56
Depok,190000000,2,36,50
"Tanah Baru, Depok",999000000,3,90,55
"Tapos, Depok",456000000,2,46,40
"Pangkalan Jati Baru, Depok",3000000000,4,265,136
"Sawangan, Depok",530120000,2,45,72
"Cilodong, Depok",799000000,2,82,149
"Pancoran Mas, Depok",525000000,2,45,84
"Cilodong, Depok",900000000,3,98,70
"Cinere, Depok",5500000000,6,400,500
"Cinere, Depok",4800000000,6,400,240
"Cilodong, Depok",599000000,3,50,40
"Bojongsari, Depok",1290000000,2,60,78
"Margonda, Depok",834000000,3,36,90
"Pondok Petir, Depok",764500000,3,84,84
"Cinere, Depok",2850000000,4,200,261
Depok,1220000000,3,90,72
"Sawangan, Depok",1350000000,4,117,97
"Cisalak, Depok",800000000,3,74,60
"Cimanggis, Depok",747000000,2,51,72
"Margonda, Depok",950000000,3,61,80
"Cilodong, Depok",596000000,3,50,40
"Bojongsari Baru, Depok",2102020200,3,180,265
"Bojongsari, Depok",550000000,2,45,70
"Cilodong, Depok",895000000,3,70,65
"Cilodong, Depok",672000000,2,38,60
"Limo, Depok",1640000000,5,95,84
"Limo, Depok",1640000000,5,95,84
"Sawangan, Depok",795000000,3,70,63
"Kalibaru, Depok",1180000000,3,70,87
"Bojongsari, Depok",590000000,2,60,86
"Bojongsari, Depok",650000000,2,69,84
"Limo, Depok",1820000000,4,220,150
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Sawangan, Depok",810000000,2,80,103
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Sukmajaya, Depok",3000000000,4,138,235
"Pancoran Mas, Depok",500000000,2,40,40
"Pancoran Mas, Depok",1350000000,3,154,83
"Pancoran Mas, Depok",1500000000,3,88,84
"Pancoran Mas, Depok",1350000000,3,156,85
"Cinere, Depok",1750000000,4,120,104
Depok,1290000000,2,60,78
"Cipayung Jaya, Depok",326613000,2,33,60
"Cinere, Depok",4800000000,4,256,400
"Cilodong, Depok",695000000,3,53,99
Depok,3900000000,5,200,180
"Sawangan, Depok",2548000000,3,136,112
"Cilodong, Depok",850000000,2,58,50
"Sawangan, Depok",901000000,3,78,70
"Cimanggis, Depok",1350000000,3,80,120
"Bojongsari, Depok",290000000,1,45,60
"Cimanggis, Depok",350000000,2,24,38
"Pondok Petir, Depok",450000000,2,45,60
"Cinere, Depok",1660000000,3,88,90
"Bojongsari, Depok",799000000,2,45,84
"Cilodong, Depok",596000000,3,50,40
"Cipayung Jaya, Depok",198790000,2,25,40
"Cilodong, Depok",599000000,3,50,40
"Cimanggis, Depok",1300000000,3,150,150
"Cimanggis, Depok",669000000,3,62,60
"Sawangan, Depok",745000000,3,70,60
"Beji, Depok",1917337500,6,164,82
"Sawangan, Depok",670000500,3,50,71
"Cinangka, Depok",1300000000,3,71,74
"Sawangan, Depok",1200000000,2,60,152
"Sawangan, Depok",590000000,2,40,72
"Sawangan, Depok",1880000000,3,81,128
"Sawangan, Depok",700000000,2,60,86
"Sawangan, Depok",695000000,2,60,45
"Sawangan, Depok",1926000000,3,120,117
"Sawangan, Depok",1040000000,2,100,95
"Bojongsari, Depok",1877200000,4,96,98
"Cilodong, Depok",1290000000,3,80,105
"Bojongsari, Depok",1877200000,4,96,98
"Tapos, Depok",490000000,2,36,61
"Bojongsari, Depok",873000000,2,56,82
"Kelapa Dua, Depok",895000000,3,81,50
"Sawangan, Depok",901000000,3,78,70
"Cimanggis, Depok",1350000000,3,80,120
"Cimanggis, Depok",350000000,2,24,38
"Bojongsari, Depok",290000000,1,45,60
"Sawangan, Depok",1200000000,2,60,152
"Sawangan, Depok",2548000000,3,136,112
"Pondok Petir, Depok",450000000,2,45,60
"Citayam, Depok",372000000,2,27,75
Depok,2500000000,4,300,200
"Cinere, Depok",800000000,2,45,85
"Cimanggis, Depok",4000000000,4,600,192
"Sawangan, Depok",788000000,3,72,103
"Tanah Baru, Depok",465000000,2,50,45
"Cilodong, Depok",350000000,2,40,72
"Sukmajaya, Depok",2090000000,4,120,194
"Cilodong, Depok",1005420000,3,72,66
Depok,2100000000,3,121,120
"Depok, Depok",200000000,2,30,40
"Pancoran Mas, Depok",775000000,3,75,104
"Sukmajaya, Depok",1400000000,5,446,446
"Sawangan, Depok",479000000,2,42,60
"Sukamaju, Depok",802000000,3,55,60
"Sawangan, Depok",1240000000,3,74,132
"Pangkalan Jati, Depok",9500000000,7,250,820
"Depok, Depok",1500000000,5,250,198
"Tapos, Depok",1500000000,4,122,105
"Kelapa Dua, Depok",850000000,3,100,120
"Cilodong, Depok",985000000,3,80,79
"Cilodong, Depok",925000000,3,80,82
"Citayam, Depok",375000000,2,45,62
"Sawangan, Depok",1475000000,3,120,80
"Sawangan, Depok",1475000000,3,120,80
"Sawangan, Depok",1475000000,3,120,80
"Margonda, Depok",1200000000,2,50,90
"Margonda, Depok",899000000,2,45,90
"Sawangan, Depok",378250000,2,33,68
"Sawangan, Depok",408000000,2,33,77
"Tapos, Depok",1050000000,2,85,107
"Cimanggis, Depok",2600000000,3,117,128
"Tapos, Depok",1020000000,3,140,120
"Cinere, Depok",5200000000,5,625,360
"Sukamaju Baru, Depok",685000000,3,65,60
"Kalimulya, Depok",710000000,2,45,70
"Cinere, Depok",1950000000,4,120,97
"Tapos, Depok",986000000,3,61,60
"Pancoran Mas, Depok",650000000,2,45,67
"Bojongsari, Depok",630000000,3,60,90
"Sawangan, Depok",760000000,2,42,89
"Cimanggis, Depok",1100000000,3,68,90
"Sawangan, Depok",750000000,3,60,80
"Cinere, Depok",2984400000,3,375,340
"Sawangan, Depok",405000000,2,45,77
"Pancoran Mas, Depok",900000000,3,80,77
"Sawangan Baru, Depok",400000000,2,36,60
Depok,1537500000,4,200,160
"Sawangan Baru, Depok",530000000,2,40,60
"Cinere, Depok",2800000000,3,180,240
Depok,1189000000,3,58,94
Depok,1400000000,3,70,227
"Margonda, Depok",1300000000,3,75,83
"Citayam, Depok",510000000,2,48,72
"Sawangan, Depok",570000000,2,40,66
"Sawangan, Depok",540000000,2,40,60
"Cimanggis, Depok",3750000000,4,220,320
"Bojongsari, Depok",799000000,2,76,108
"Sawangan, Depok",1478000000,3,88,84
"Cilodong, Depok",599000000,3,50,40
"Grogol, Depok",360000000,2,40,65
"Depok, Depok",1150000000,3,107,85
"Cimanggis, Depok",1100000000,3,68,90
"Sawangan, Depok",405000000,2,45,77
"Pancoran Mas, Depok",900000000,3,80,77
"Sawangan Baru, Depok",400000000,2,36,60
"Bojongsari, Depok",630000000,3,60,90
"Sawangan, Depok",760000000,2,42,89
"Cinere, Depok",2800000000,3,180,240
"Sawangan, Depok",750000000,3,60,80
"Cilangkap, Depok",708171141,3,62,69
"Margonda, Depok",1300000000,3,75,83
Depok,979000000,3,115,76
"Citayam, Depok",510000000,2,48,72
"Sawangan, Depok",570000000,2,40,66
"Sawangan, Depok",540000000,2,40,60
"Cimanggis, Depok",3750000000,4,220,320
Depok,1400000000,3,70,227
"Cimanggis, Depok",2850000000,6,300,320
"Cinere, Depok",1450000000,3,45,100
"Cinere, Depok",7000000000,4,300,600
"Sawangan, Depok",715000000,3,60,50
"Cinere, Depok",795000000,3,70,72
"Pancoran Mas, Depok",1500000000,5,150,135
"Leuwi Nanggung, Depok",964600000,3,74,56
"Sukatani, Depok",2865000000,4,370,195
"Sawangan, Depok",265000000,2,45,61
"Bedahan, Depok",550000000,2,40,60
"Sukmajaya, Depok",1500000000,2,70,90
"Sawangan, Depok",405000000,2,45,70
"Cimanggis, Depok",970000000,3,86,75
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Sawangan, Depok",2300000000,3,109,112
"Sukmajaya, Depok",1700000000,3,150,342
"Bojongsari, Depok",800000000,2,56,74
"Cinere, Depok",265000000,2,54,54
"Cilodong, Depok",865000000,3,75,65
"Sawangan, Depok",795000000,3,70,72
"Sawangan, Depok",610000000,2,45,72
"Sawangan, Depok",1350000000,3,155,85
Depok,400000000,2,43,72
"Cilodong, Depok",825000000,3,65,65
"Tapos, Depok",1200000000,3,80,44
"Bojongsari, Depok",480000000,2,50,72
